port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
1619.0,Muara,Sea,Unknown,Unknown,BRN,5.01893,115.067,Muara (1619.0),Brunei Darussalam
1622.0,Basuo,Sea,Unknown,Unknown,CHN,19.096599999999995,108.61799999999997,Basuo (1622.0),China
1628.0,Shiogama,Sea,Unknown,Unknown,JPN,38.3213999999999,141.0319999999996,Shiogama (1628.0),Japan
1639.0,Balboa,Sea,Medium,Unknown,PAN,8.96003,-79.5613,Balboa (1639.0),Panama
1640.0,Cirebon,Sea,Medium,Unknown,IDN,-6.70907,108.57100000000001,Cirebon (1640.0),
1643.0,Mudanya,Sea,Small,Unknown,TUR,40.39409999999999,28.863699999999998,Mudanya (1643.0),Turkey
1644.0,Karabiga,Sea,Small,Unknown,TUR,40.41460000000003,27.30009999999998,Karabiga (1644.0),Turkey
1645.0,Sinop,Sea,Small,Unknown,TUR,42.0178,35.1523,Sinop (1645.0),Turkey
1649.0,Progreso,Sea,Small,Unknown,MEX,21.292400000000168,-89.65050000000139,Progreso (1649.0),Mexico
1653.0,Rize,Sea,Small,Unknown,TUR,41.02530000000001,40.5211,Rize (1653.0),Turkey
1656.0,La Brea,Sea,Very Small,Unknown,TTO,10.24180000000001,-61.62740000000008,La Brea (1656.0),Trinidad and Tobago
1658.0,Carrington,Sea,Unknown,Unknown,GBR,53.46799999999995,-2.3409000000000026,Carrington (1658.0),U.K. of Great Britain and Northern Ireland
1661.0,Suez,Sea,Large,Open,EGY,29.966699999999953,32.550000000000075,Suez (1661.0),Egypt
1666.0,Abu Qir,Sea,Small,Open,EGY,31.31669999999996,30.066699999999948,Abu Qir (1666.0),Egypt
1671.0,Makassar,Sea,Medium,Open,IDN,-5.132219999999968,119.40299999999971,Makassar (1671.0),Indonesia
1673.0,Balikpapan,Sea,Medium,Open,IDN,-1.2552699999999974,116.8159999999999,Balikpapan (1673.0),
1680.0,Lavan,Sea,Very Small,Open,IRN,26.794599999999974,53.33009999999996,Lavan (1680.0),Iran (Islamic Republic of)
1684.0,Phu My,River,Small,Open,VNM,10.5983,107.024,Phu My (1684.0),Viet Nam
1688.0,Hull,Sea,Unknown,Unknown,GBR,53.73989999999128,-0.33799999999999464,Hull (1688.0),U.K. of Great Britain and Northern Ireland
1689.0,Wismar,Sea,Unknown,Unknown,DEU,53.8993999999998,11.454299999999785,Wismar (1689.0),Germany
1690.0,Greenore,Sea,Unknown,Unknown,IRL,54.029900000000595,-6.132500000000067,Greenore (1690.0),Ireland
1693.0,Palnackie,Sea,Unknown,Unknown,GBR,54.8761,-3.831,Palnackie (1693.0),U.K. of Great Britain and Northern Ireland
1694.0,Odense,Sea,Unknown,Unknown,DNK,55.39849999999995,10.400300000000005,Odense (1694.0),Denmark
1695.0,Skoghall,Sea,Unknown,Unknown,SWE,59.3184,13.473099999999999,Skoghall (1695.0),Sweden
1696.0,Struer,Sea,Unknown,Unknown,DNK,56.49170000000003,8.60430000000001,Struer (1696.0),Denmark
1697.0,Portree,Sea,Unknown,Unknown,GBR,57.41820000000006,-6.190800000000003,Portree (1697.0),U.K. of Great Britain and Northern Ireland
1698.0,Menstad,Sea,Unknown,Unknown,NOR,59.14800000000001,9.6545,Menstad (1698.0),Norway
1699.0,Fagerstrand,Sea,Unknown,Unknown,NOR,59.73009999999999,10.597299999999974,Fagerstrand (1699.0),Norway
1700.0,Odda,Sea,Unknown,Unknown,NOR,60.07609999999909,6.544100000000052,Odda (1700.0),Norway
1701.0,Helsinki,Sea,Unknown,Unknown,FIN,60.157899999998406,24.9375,Helsinki (1701.0),Finland
1702.0,Norheimsund,Sea,Unknown,Unknown,NOR,60.36589999999913,6.159299999999999,Norheimsund (1702.0),Norway
